0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:22:18 +0700] "GET /magic-frontend/search-result?day=1&month=11&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:23:26 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17549
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17549
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:25:43 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:36:30 +0700] "GET /bookstore/list-product HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:36:42 +0700] "GET /frontend HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:36:46 +0700] "GET /frontend HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:00 +0700] "GET /magic-frontend HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:00 +0700] "GET /magic-frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:00 +0700] "GET /magic-frontend/imgs/3.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:02 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17585
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:02 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:02 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:02 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:02 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:37:03 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:38:37 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17589
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:38:38 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17589
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:39:36 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:39:37 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:39:37 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:02 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:03 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:03 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:03 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:03 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:51:46 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:52:53 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17608
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:55:11 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17618
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:55:16 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17618
